,Canton,Amount,datetime
593,VS,498,2022-05-01
594,VS,505,2022-06-01
595,VS,524,2022-07-01
596,VS,530,2022-08-01
597,VS,520,2022-09-01
598,VS,520,2022-10-01
599,VS,593,2022-11-01
600,ZG,122,2020-11-01
601,ZG,124,2020-12-01
602,ZG,141,2021-01-01
603,ZG,174,2021-02-01
604,ZG,172,2021-03-01
605,ZG,161,2021-04-01
606,ZG,163,2021-05-01
607,ZG,166,2021-06-01
608,ZG,167,2021-08-01
609,ZG,167,2021-09-01
610,ZG,167,2021-10-01
611,ZG,167,2021-11-01
612,ZG,167,2021-12-01
613,ZG,170,2022-01-01
614,ZG,170,2022-02-01
615,ZG,173,2022-03-01
616,ZG,185,2022-04-01
617,ZG,199,2022-05-01
618,ZG,215,2022-06-01
619,ZG,219,2022-07-01
620,ZG,228,2022-08-01
621,ZG,218,2022-09-01
622,ZG,219,2022-10-01
623,ZG,227,2022-11-01
624,ZH,620,2020-11-01
625,ZH,634,2020-12-01
626,ZH,669,2021-01-01
627,ZH,698,2021-02-01
628,ZH,721,2021-03-01
629,ZH,735,2021-04-01
630,ZH,753,2021-05-01
631,ZH,768,2021-06-01
632,ZH,741,2021-08-01
633,ZH,747,2021-09-01
634,ZH,755,2021-10-01
635,ZH,757,2021-11-01
636,ZH,783,2021-12-01
637,ZH,958,2022-01-01
638,ZH,955,2022-02-01
639,ZH,956,2022-03-01
640,ZH,1002,2022-04-01
641,ZH,1055,2022-05-01
642,ZH,1066,2022-06-01
643,ZH,1102,2022-07-01
644,ZH,1151,2022-08-01
645,ZH,1086,2022-09-01
646,ZH,1090,2022-10-01
647,ZH,1103,2022-11-01
