,geometry,GemeindeLabel,AnzahlLadestation
11,"MULTIPOLYGON (((8.41467129739349 47.29360706113061, 8.403602911721773 47.29175588133881, 8.403738998430851 47.29056157179571, 8.397206836395085 47.2878942804828, 8.392715974995495 47.29091986465865, 8.388633373723142 47.29002413250132, 8.391627281322869 47.28650091934919, 8.394984086813469 47.27808103707036, 8.402015233449191 47.27270664412644, 8.401425524376517 47.26816826786268, 8.416032164484275 47.27101470560705, 8.421883892974648 47.27575213346133, 8.424741713865297 47.27330379889798, 8.427780983701382 47.27308484214842, 8.428552141719493 47.27603080568805, 8.42614794319244 47.2791360105001, 8.423380846774512 47.28564499750997, 8.419388969974875 47.29018337377374, 8.419525056683955 47.29293028572285, 8.416531149084229 47.29165635554355, 8.41467129739349 47.29360706113061)))",Ottenbach,2.0
12,"MULTIPOLYGON (((8.483848707841712 47.23761384871848, 8.487795222404989 47.23635982369824, 8.490471594350199 47.23725555585555, 8.494100573258958 47.23506598835988, 8.498500710185828 47.23598162567625, 8.503127658294495 47.23182144743447, 8.512925901348147 47.22917406128061, 8.511565034257362 47.23377215302153, 8.514558941857089 47.23317499824998, 8.515919808947872 47.23476741097411, 8.52326849123811 47.23560342765428, 8.523586026892627 47.23745460744608, 8.522270522038202 47.23775318483185, 8.514377492911651 47.23763375387754, 8.513833146075337 47.25015409892099, 8.516736329202343 47.25116926203262, 8.502175051330948 47.26132089314893, 8.500678097531084 47.26128108283083, 8.499362592676659 47.2597284804248, 8.50008838845841 47.25799673158731, 8.491832461440984 47.25306025214252, 8.493147966295409 47.25108964139641, 8.491832461440984 47.25061191757917, 8.487341600041393 47.25097021044211, 8.484665228096183 47.2540953204132, 8.476999010151429 47.25439389779898, 8.472417424279122 47.25260243348433, 8.477951617114979 47.24987542669427, 8.474912347278893 47.24836263460634, 8.478450601714933 47.24655126513265, 8.474821622806175 47.24531714527145, 8.478178428296776 47.24444131827318, 8.481625958260098 47.24016170907709, 8.485300299405218 47.23932569239692, 8.483848707841712 47.23761384871848)))",Rifferswil,0.0
13,"MULTIPOLYGON (((8.503173020530856 47.32022025878258, 8.500587373058366 47.32278802430024, 8.501993602385509 47.3366619201592, 8.497003756385965 47.34247422660226, 8.498137812294953 47.34464388893889, 8.486978702150518 47.35268557319573, 8.479856831042078 47.35471589941899, 8.474821622806175 47.35370073630736, 8.473233944533591 47.35161069460695, 8.469287429970317 47.35061543665437, 8.470376123642943 47.34924198067981, 8.469242067733957 47.34818700725007, 8.483395085478119 47.33672163563635, 8.481807407205537 47.33588561895618, 8.483848707841712 47.33186477682776, 8.483032187587241 47.33025245894459, 8.485980732950608 47.32997378671786, 8.483576534423555 47.32798327081271, 8.483757983368994 47.32378328225282, 8.486071457423328 47.32201172309723, 8.483485809950837 47.31986196591966, 8.483440447714477 47.31621932181321, 8.486207544132407 47.3134724098641, 8.491923185913702 47.312278100321, 8.485391023877936 47.31056625664257, 8.483667258896276 47.31144208364083, 8.482124942860052 47.30980986059861, 8.480310453405671 47.30131035768358, 8.483848707841712 47.29814543739437, 8.482760014169084 47.29713027428274, 8.476726836733272 47.29306962183622, 8.477316545805946 47.28888953843538, 8.483984794550791 47.289128400344, 8.485436386114294 47.29302981151811, 8.493147966295409 47.29129806268062, 8.49305724182269 47.29245256190562, 8.503263745003576 47.28560518719187, 8.506801999439615 47.28582414394144, 8.509342284675746 47.28721750507505, 8.508298953239478 47.29408478494785, 8.50988663151206 47.29400516431164, 8.506665912730536 47.29935965209652, 8.508934024548511 47.30240514143141, 8.507119535094132 47.30535110497105, 8.510113442693857 47.30865536137361, 8.506166928130583 47.3121984796848, 8.503173020530856 47.32022025878258)))",Stallikon,0.0
14,"MULTIPOLYGON (((8.483757983368994 47.32378328225282, 8.483576534423555 47.32798327081271, 8.485980732950608 47.32997378671786, 8.483032187587241 47.33025245894459, 8.483848707841712 47.33186477682776, 8.481807407205537 47.33588561895618, 8.483395085478119 47.33672163563635, 8.469242067733957 47.34818700725007, 8.457901508644085 47.34997847156471, 8.455225136698875 47.34474341473415, 8.459353100207588 47.34227517501175, 8.461621212025562 47.33496998163982, 8.456359192607861 47.33610457570575, 8.455225136698875 47.3348107403674, 8.460078895989339 47.33029226926269, 8.465613088825197 47.33240221612216, 8.465522364352479 47.32796336565365, 8.477180459096868 47.32746573667736, 8.477906254878619 47.32463920409204, 8.481671320496456 47.32511692790928, 8.48221566733277 47.32346479970799, 8.483757983368994 47.32378328225282)))",Wettswil am Albis,4.0
21,"MULTIPOLYGON (((8.726219136710473 47.59612566839668, 8.720458132692817 47.59421477312773, 8.717554949565811 47.595090600126, 8.718053934165765 47.59674272832728, 8.724994356328766 47.59942992479925, 8.718643643238439 47.60502327449274, 8.71669306707498 47.6045057403574, 8.714470317493365 47.60090290656906, 8.704037003130683 47.5957076600566, 8.699772952912889 47.59634462514625, 8.698548172531183 47.59493135885359, 8.700135850803765 47.59417496280962, 8.699636866203811 47.59284131715317, 8.714152781838848 47.58762616548165, 8.708255691112115 47.58245082412824, 8.703855554185244 47.58169442808428, 8.696869769785883 47.58868113891138, 8.696007887295051 47.58754654484544, 8.690110796568318 47.59005459488595, 8.68539312398693 47.58864132859328, 8.684848777150616 47.58597403728037, 8.68194559402361 47.58581479600796, 8.682535303096284 47.58473991741917, 8.682580665332644 47.58475982257822, 8.681491971660016 47.58215224674247, 8.675685605406001 47.58324703049031, 8.6792692220784 47.57866884390844, 8.682626027569002 47.57934561931619, 8.683261098878035 47.57723567245672, 8.685665297405087 47.57745462920629, 8.687479786859468 47.57343378707787, 8.693013979695326 47.57301577873778, 8.697550203331275 47.57566316489164, 8.70063483540372 47.57554373393734, 8.699364692785654 47.57438923471234, 8.700045126331046 47.57293615810158, 8.702766860512616 47.571940900149, 8.705352507985108 47.57206033110331, 8.7060329415305 47.57494657916579, 8.708936124657507 47.57450866566666, 8.708255691112115 47.58103755783558, 8.709344384784742 47.58125651458514, 8.714606404202444 47.57685747443474, 8.717282776147654 47.57797216334163, 8.723225229110746 47.57391151089511, 8.730301737982828 47.57213995173952, 8.734384339255183 47.57552382877829, 8.717781760747608 47.58748682936829, 8.722726244510792 47.58937781947819, 8.723134504638027 47.59184605920059, 8.72558406540144 47.59126880958809, 8.726219136710473 47.59612566839668)))",Adlikon,1.0
22,"MULTIPOLYGON (((8.656678828371373 47.64029521633216, 8.658266506643955 47.64093218142181, 8.656814915080453 47.64264402510025, 8.660080996098335 47.64449520489205, 8.661577949898199 47.64230563739637, 8.664798668679722 47.64355966241662, 8.662802730279905 47.6457890402304, 8.66856373429756 47.64807813352133, 8.666703882606821 47.64885443472434, 8.666567795897743 47.6508847609476, 8.670741121642816 47.65144210540105, 8.670468948224659 47.65361176773767, 8.671875177551803 47.65412930187301, 8.669244167842953 47.65420892250922, 8.668291560879403 47.65615962809628, 8.670741121642816 47.66115582301823, 8.671376192951849 47.66517666514665, 8.670242137042861 47.66658993143931, 8.656497379425936 47.66680888818888, 8.653730283008006 47.66621173341733, 8.653548834062569 47.66398235560355, 8.650827099880999 47.66272833058331, 8.64620015177233 47.66272833058331, 8.642571172863573 47.66055866824668, 8.637898862518544 47.66191221906219, 8.63377089900983 47.65984208252083, 8.639531903027486 47.65862786781867, 8.638216398173061 47.65699564477644, 8.6400762498638 47.65619943841438, 8.636265822009602 47.64672458270582, 8.637989586991264 47.64353975725757, 8.644703197972468 47.64055398339983, 8.645565080463298 47.64443548941489, 8.647878554517632 47.64202696516965, 8.653231298408052 47.64349994693946, 8.656678828371373 47.64029521633216)))",Benken (ZH),0.0
23,"MULTIPOLYGON (((8.572032895324563 47.57436932955329, 8.567496671688614 47.5625655702357, 8.578292883942172 47.55920159835598, 8.577521725924061 47.55510113559135, 8.587229244504993 47.55533999749997, 8.59457792679523 47.55092105219052, 8.597163574267721 47.54745755451555, 8.608730944539392 47.5469002100621, 8.609366015848424 47.54974664780647, 8.613357892648059 47.55404616216162, 8.611271229775523 47.55476274788747, 8.61154340319368 47.55896273644736, 8.612722821339027 47.55874377969779, 8.610454709521052 47.56085372655726, 8.614764121975204 47.56320253532535, 8.617259044974976 47.56672574847748, 8.612949632520824 47.56809920445204, 8.609184566902986 47.56829825604256, 8.602108058030906 47.57219966721667, 8.572032895324563 47.57436932955329)))",Berg am Irchel,0.0
24,"MULTIPOLYGON (((8.634995679391537 47.52703486132861, 8.633408001118955 47.52844812762127, 8.636946255554996 47.53151352211522, 8.642117550499977 47.53278745229452, 8.641255668009146 47.53475806304063, 8.643115519699887 47.53557417456175, 8.642525810627212 47.53666895830958, 8.648649712535743 47.53810212976129, 8.653049849462615 47.54210306673067, 8.64620015177233 47.54483007352074, 8.646018702826893 47.54707935649356, 8.650373477517405 47.54586514179142, 8.64887652371754 47.54799499380994, 8.649965217390168 47.54974664780647, 8.649057972662979 47.55209545657456, 8.646563049663207 47.55452388597886, 8.650600288699202 47.55518075622756, 8.648695074772103 47.55830586619866, 8.641527841427303 47.56107268330683, 8.637626689100387 47.55999780471804, 8.636175097536883 47.56268500119001, 8.63109452706462 47.56521295638956, 8.617259044974976 47.56672574847748, 8.614764121975204 47.56320253532535, 8.610454709521052 47.56085372655726, 8.612722821339027 47.55874377969779, 8.61154340319368 47.55896273644736, 8.611271229775523 47.55476274788747, 8.613357892648059 47.55404616216162, 8.609366015848424 47.54974664780647, 8.608730944539392 47.5469002100621, 8.597163574267721 47.54745755451555, 8.598252267940349 47.54598457274572, 8.59725429874044 47.54461111677116, 8.600338930812885 47.54100828298283, 8.599613135031134 47.53971444764447, 8.608322684412157 47.53861966389664, 8.612359923448151 47.53533531265312, 8.62129628401097 47.53734573371734, 8.630640904701025 47.53187181497815, 8.62928003761024 47.53061778995789, 8.631412062719138 47.52982158359583, 8.629642935501117 47.5281097399174, 8.634995679391537 47.52703486132861)))",Buch am Irchel,0.0
25,"MULTIPOLYGON (((8.628282068410332 47.648336900589, 8.636265822009602 47.64672458270582, 8.6400762498638 47.65619943841438, 8.638216398173061 47.65699564477644, 8.639531903027486 47.65862786781867, 8.63377089900983 47.65984208252083, 8.627510910392221 47.66183259842598, 8.622430339919958 47.67236242756427, 8.6168961470841 47.67059086840868, 8.615263106575158 47.67289986685866, 8.611770214375477 47.67321834940349, 8.61154340319368 47.6702126703867, 8.60877630677575 47.6689785505255, 8.608730944539392 47.6670477500975, 8.610137173866535 47.66422121751217, 8.614537310793406 47.66155392619926, 8.627692359337658 47.65377100901009, 8.628282068410332 47.648336900589)))",Dachsen,0.0
26,"MULTIPOLYGON (((8.648695074772103 47.55830586619866, 8.655862308116902 47.5575892804728, 8.655953032589622 47.55961960669607, 8.659899547152897 47.55967932217322, 8.660443893989211 47.56218737221372, 8.667475040624932 47.56202813094131, 8.667520402861292 47.56280443214432, 8.661804761079996 47.56891531597316, 8.664345046316127 47.56927360883608, 8.665705913406912 47.57126412474125, 8.662938816988984 47.57331435612356, 8.664889393152441 47.57528496686967, 8.662485194625388 47.57858922327223, 8.657994333225798 47.58055983401834, 8.657631435334922 47.58545650314503, 8.658856215716629 47.58635223530235, 8.658357231116675 47.58762616548165, 8.649148697135697 47.58625270950709, 8.649965217390168 47.58402333169332, 8.644068126663434 47.58396361621616, 8.643932039954358 47.58057973917739, 8.638216398173061 47.5800821102011, 8.6364926331914 47.57174184855848, 8.634360608082504 47.57144327117271, 8.636129735300525 47.56901484176841, 8.633906985718909 47.56875607470074, 8.635902924118726 47.56784043738437, 8.631139889300981 47.56688498974989, 8.63109452706462 47.56521295638956, 8.636175097536883 47.56268500119001, 8.637626689100387 47.55999780471804, 8.641527841427303 47.56107268330683, 8.648695074772103 47.55830586619866)))",Dorf,0.0
